Value,yy,mm
1.221114103,1930,8
1.157754409,1930,9
1.369556815,1930,10
1.021160783,1930,11
0.256730189,1930,12
0.665194502,1931,1
-0.25705933,1931,2
0.19485163,1931,3
0.769203143,1931,4
1.858002456,1931,5
2.03294104,1931,6
1.895195419,1931,7
2.68480532,1931,8
2.37310854,1931,9
1.862281292,1931,10
1.790857637,1931,11
1.458754098,1931,12
1.172236625,1932,1
0.406160324,1932,2
0.603974226,1932,3
0.17131803,1932,4
1.82278434,1932,5
1.451677561,1932,6
1.791845061,1932,7
1.269827011,1932,8
2.237666908,1932,9
2.722821137,1932,10
1.798757028,1932,11
1.723877389,1932,12
1.098508981,1933,1
1.701331213,1933,2
1.219139255,1933,3
0.976891282,1933,4
2.021256525,1933,5
2.26136508,1933,6
2.063715748,1933,7
2.081324806,1933,8
2.020598242,1933,9
2.387097044,1933,10
3.143463677,1933,11
2.484193718,1933,12
2.69764183,1934,1
1.986532121,1934,2
1.288917204,1934,3
1.441803323,1934,4
1.547128529,1934,5
2.004305749,1934,6
2.034751317,1934,7
1.961517385,1934,8
1.47208432,1934,9
2.231248654,1934,10
2.064374031,1934,11
1.46188094,1934,12
1.029883027,1935,1
2.137937104,1935,2
1.174211472,1935,3
1.275916124,1935,4
1.86425614,1935,5
2.177269486,1935,6
1.858002456,1935,7
1.571649553,1935,8
2.063057466,1935,9
2.280455273,1935,10
1.550255371,1935,11
1.437689057,1935,12
1.523101216,1936,1
0.69596921,1936,2
0.661409377,1936,3
0.773975691,1936,4
1.991962952,1936,5
1.689646698,1936,6
1.852077913,1936,7
1.690140409,1936,8
2.153735885,1936,9
2.196030538,1936,10
1.46188094,1936,11
2.006609738,1936,12
1.213872995,1937,1
1.137841362,1937,2
1.21765812,1937,3
1.711863733,1937,4
1.609336228,1937,5
2.505423329,1937,6
1.947528881,1937,7
1.841380822,1937,8
1.876598938,1937,9
1.752183538,1937,10
2.353030923,1937,11
1.776704563,1937,12
1.800238164,1938,1
1.475869444,1938,2
1.567699858,1938,3
1.689975839,1938,4
2.461812112,1938,5
2.685628174,1938,6
2.447494466,1938,7
2.462799535,1938,8
2.120986329,1938,9
2.276176437,1938,10
2.375412529,1938,11
2.096959016,1938,12
2.05367694,1939,1
1.893549713,1939,2
1.28003039,1939,3
1.284309226,1939,4
1.784439383,1939,5
2.092186468,1939,6
2.281936409,1939,7
2.255605107,1939,8
1.565395869,1939,9
1.676481047,1939,10
2.357309759,1939,11
0.340990353,1939,12
0.85412159,1940,1
0.369131932,1940,2
0.328976697,1940,3
0.787799624,1940,4
1.383216177,1940,5
1.203998757,1940,6
1.360999142,1940,7
1.707914038,1940,8
1.262750473,1940,9
1.544495399,1940,10
2.052360375,1940,11
0.144493017,1940,12
1.00223516,1941,1
-0.087880718,1941,2
0.17131803,1941,3
0.450923537,1941,4
1.237735737,1941,5
1.806491848,1941,6
0.906784192,1941,7
1.861293869,1941,8
1.26192762,1941,9
1.04634009,1941,10
0.9554971,1941,11
0.996804329,1941,12
0.634255223,1942,1
0.513954089,1942,2
0.458164645,1942,3
1.081558206,1942,4
2.901544845,1942,5
2.904836258,1942,6
2.794409362,1942,7
2.427416849,1942,8
2.136291398,1942,9
3.257675697,1942,10
2.262352503,1942,11
